date,store,item,unitSold,sales,product_name,customer_name,location
2024-11-02,1,P001,49,36750,Laptop,Customer_118,Koramangala
2024-11-03,1,P001,45,33750,Laptop,Customer_423,Koramangala
2024-11-05,1,P001,50,37500,Laptop,Customer_693,Koramangala
2024-11-06,1,P001,49,36750,Laptop,Customer_750,Koramangala
2024-11-07,1,P001,50,37500,Laptop,Customer_375,Koramangala
2024-11-08,1,P001,46,34500,Laptop,Customer_458,Koramangala
2024-11-09,1,P001,45,33750,Laptop,Customer_425,Koramangala
2024-11-11,1,P001,43,32250,Laptop,Customer_843,Koramangala
2024-11-12,1,P001,40,30000,Laptop,Customer_784,Koramangala
2024-11-14,1,P001,42,31500,Laptop,Customer_355,Koramangala
2024-11-16,1,P001,48,36000,Laptop,Customer_738,Koramangala
2024-11-19,1,P001,41,30750,Laptop,Customer_246,Koramangala
2024-11-20,1,P001,41,30750,Laptop,Customer_340,Koramangala
2024-11-21,1,P001,42,31500,Laptop,Customer_372,Koramangala
2024-11-25,1,P001,46,34500,Laptop,Customer_212,Koramangala
2024-11-26,1,P001,41,30750,Laptop,Customer_238,Koramangala
2024-11-27,1,P001,40,30000,Laptop,Customer_121,Koramangala
2024-11-28,1,P001,50,37500,Laptop,Customer_577,Koramangala
2024-11-29,1,P001,48,36000,Laptop,Customer_156,Koramangala
2024-11-02,2,P001,49,36750,Laptop,Customer_573,Whitefield
2024-11-03,2,P001,41,30750,Laptop,Customer_425,Whitefield
2024-11-04,2,P001,46,34500,Laptop,Customer_482,Whitefield
2024-11-05,2,P001,41,30750,Laptop,Customer_185,Whitefield
2024-11-06,2,P001,45,33750,Laptop,Customer_36,Whitefield
2024-11-07,2,P001,50,37500,Laptop,Customer_245,Whitefield
2024-11-11,2,P001,49,36750,Laptop,Customer_38,Whitefield
2024-11-12,2,P001,40,30000,Laptop,Customer_794,Whitefield
2024-11-13,2,P001,48,36000,Laptop,Customer_755,Whitefield
2024-11-14,2,P001,42,31500,Laptop,Customer_515,Whitefield
2024-11-19,2,P001,49,36750,Laptop,Customer_144,Whitefield
